Student No	Fin
150308044	60
150311032	53
150311033	72
150311035	40
150311054	89
150311059	x
150311098	20
150311099	81
150312003	26
150312005	45
150312022	57
150312024	46
150312025	47
150312042	DZ
150312048	64
150312060	30
150312923	DZ
150313001	53
150313002	57
150313004	68
150313005	91
150313008	64
150313011	Ek
150313012	45
150313013	86
150313018	57
150313019	81
150313020	41
150313022	70
150313023	75
150313025	78
150313026	67
150313027	x
150313028	66
150313030	x
150313032	28
150313033	58
150313037	43
150313038	30
150313039	46
150313044	x
150313046	49
150313047	x
150313048	39
150313051	76
150313053	71
150313054	64
150313055	71
150313060	DZ
150313061	41
150313062	41
150313063	47
150313064	51
150313065	47
150313066	46
150313067	72
150313851	61
150313921	47
150314022	8
150314031	62
150314035	24
150314501	31
150314822	47
150314843	49
150314906	42
150315501	52
150315502	50
150315503	77
150315505	44
150315821	77
150315823	65
150315824	65
150315825	81
150315842	29
150315843	68
150315844	53
150315845	77
150315846	67
150316837	50
150811017	57
199816094	12
